ID,CEP,Cidade,Data_Nascimento,Email,Enderco,Nome,Pais,Telefone,Usuario,Cargo_ID
1,25755-351,Rio de Janeiro,1945-12-29,MuriloDiasAzevedo@armyspy.com,Vila de Secretario 18,Murilo Azevedo,Brazil,(24) 7129-8842,Cousine,2
2,08226-018,São Paulo,1940-10-02,JuliaGoncalvesSousa@jourrapide.com,Rua Campos 1466,Júlia Sousa,Brazil,(11) 3547-3065,Martled40,1
3,81935-330,Paraná,1948-12-23,LiviaSouzaRocha@superrito.com,Travessa Alaor Darci Conduta 1285,Livia Rocha,Brazil,(41) 7748-7353,Wastores,5
4,81560-700,Paraná,1965-06-26,LuanaCorreiaMelo@einrot.com,Rua Eduardo Victor Piechnik 1370,Luana Melo,Brazil,(41) 8480-8722,Othrom,5
5,77022-310,Tocantins,1990-06-28,AntonioPintoAlves@fleckens.hu,Quadra 702 Sul Avenida NS 2 1022,Antônio Alves,Brazil,(63) 6269-6604,Gloseloth,5
6,89230-731,Santa Catarina,1946-01-04,RafaelCunhaAlmeida@jourrapide.com,Rua Gert Schmidt 1985,Rafael Almeida,Brazil,(47) 5979-6916,Objeand46,5
7,30520-100,Minas Gerais,1946-12-17,BeatriceFernandesCorreia@dayrep.com,Rua Nióbio 1499,Beatrice Correia,Brazil,(31) 8085-6486,Heepromented,4
8,29163-289,Espírito Santo,1951-11-23,NicolasDiasGomes@dayrep.com,Rua Eça de Queiroz 1407,Nicolas Gomes,Brazil,(27) 7194-8754,Cyricionsien,4
9,18278-314,São Paulo,1935-09-03,BiancaAlmeidaCorreia@dayrep.com,Rua Maria Tereza Moraes 227,Bianca Correia,Brazil,(15) 6493-3898,Hamay1935,1
10,05686-002,São Paulo,1953-02-24,JulietaCardosoCorreia@rhyta.com,Avenida Duquesa de Goiás 298,Julieta Correia,Brazil,(11) 4554-6256,Wrapprand1953,1
11,71880-176,Distrito Federal,1977-09-29,LarissaFerreiraBarbosa@einrot.com,Quadra QN 08F Conjunto 06 772,Larissa Barbosa,Brazil,(61) 2919-5350,Docklinew77,5
12,88506-045,Santa Catarina,1991-02-05,SamuelSilvaCavalcanti@superrito.com,Rua João Daum 1307,Samuel Cavalcanti,Brazil,(49) 4530-5912,Comentend,5
13,09840-075,São Paulo,2000-01-12,NicolasLimaCavalcanti@einrot.com,Rua Ana Maria Poppovic 1357,Nicolas Cavalcanti,Brazil,(11) 8222-9820,Hadeard,1
14,31615-450,Minas Gerais,1946-10-11,CarlosAlvesSilva@einrot.com,Rua Heracles 697,Carlos Silva,Brazil,(31) 8142-7387,Whormill,4
15,37701-121,Minas Gerais,1999-01-11,ThaisMartinsBarros@cuvox.de,Praça Teodoro Heldt 735,Thaís Barros,Brazil,(35) 7888-7881,Dictiony,4
16,02934-050,São Paulo,1988-12-15,AnaRochaCavalcanti@fleckens.hu,Rua Manoel Barbosa 1801,Ana Cavalcanti,Brazil,(11) 7073-5697,Uposecushers,1
17,06783-210,São Paulo,1954-01-16,JulietaFernandesLima@gustr.com,Rua Palhoça 636,Julieta Lima,Brazil,(11) 5310-9842,Artak1954,1
18,23050-101,Rio de Janeiro,1980-05-20,MatildeMeloCunha@armyspy.com,Avenida Cesário de Melo 67,Matilde Cunha,Brazil,(21) 2669-3382,Dich1980,2
19,20761-380,Rio de Janeiro,1946-02-20,AntonioRibeiroAlves@teleworm.us,Rua César do Rego Monteiro Filho 1942,Antônio Alves,Brazil,(21) 3282-4389,Favered,2
20,61620-260,Ceará,1994-08-21,MariaCostaMelo@gustr.com,Rua B 29,Maria Melo,Brazil,(85) 8762-5498,Onews1994,5
21,07034-040,São Paulo,2001-01-02,GabrielleRibeiroMelo@einrot.com,Rua Paulo Steola 1197,Gabrielle Melo,Brazil,(11) 7136-2333,Anothe,1
22,56328-095,Pernambuco,1953-10-17,GiovannaCardosoAzevedo@superrito.com,Rua Monteiro Lobato 886,Giovanna Azevedo,Brazil,(87) 2452-4911,Heyese,4
23,17526-470,São Paulo,1984-03-10,MarianaSouzaSilva@rhyta.com,Rua Antônio Dal Antônia 1559,Mariana Silva,Brazil,(14) 2227-9626,Supponed,1
24,13336-602,São Paulo,1980-11-26,ClaraRochaMartins@jourrapide.com,Rua Três 1947,Clara Martins,Brazil,(19) 2231-4051,Worythe,1
25,55610-420,Pernambuco,1988-08-31,ManuelaCunhaCardoso@armyspy.com,Rua Professor José Dionísio de Barros 914,Manuela Cardoso,Brazil,(81) 5078-7661,Willoved,4
26,27255-230,Rio de Janeiro,1978-04-10,GabrielleCastroRodrigues@teleworm.us,Rua Cento e Sessenta e Seis-C 654,Gabrielle Rodrigues,Brazil,(24) 8627-4993,Younchants,2
27,08850-170,São Paulo,1936-07-19,ViniciusMeloRibeiro@rhyta.com,Praça Jesuíno Franco 1132,Vinícius Ribeiro,Brazil,(11) 6392-8912,Crial1936,1
